wavelength, flux, error 
429.600,  0.572,  0.029 
429.700,  0.361,  0.018 
429.800,  0.427,  0.021 
429.900,  0.252,  0.013 
430.000,  0.333,  0.017 
430.100,  0.284,  0.014 
430.200,  0.304,  0.015 
430.300,  0.285,  0.014 
430.400,  0.394,  0.020 
430.500,  0.365,  0.018 
430.600,  0.261,  0.013 
430.700,  0.258,  0.013 
430.800,  0.077,  0.004 
430.900,  0.216,  0.011 
431.000,  0.295,  0.015 
431.100,  0.329,  0.016 
431.200,  0.360,  0.018 
431.300,  0.400,  0.020 
431.400,  0.526,  0.026 
431.500,  0.417,  0.021 
431.600,  0.859,  0.043 
431.700,  0.790,  0.040 
431.800,  0.854,  0.043 
431.900,  0.607,  0.030 
432.000,  0.713,  0.036 
432.100,  0.549,  0.027 
432.200,  0.717,  0.036 
432.300,  0.445,  0.022 
432.400,  0.308,  0.015 
432.500,  0.265,  0.013 
432.600,  0.140,  0.007 
432.700,  0.370,  0.019 
432.800,  0.636,  0.032 
432.900,  0.695,  0.035 
433.000,  0.570,  0.029 
433.100,  0.615,  0.031 
433.200,  0.791,  0.040 
433.300,  0.602,  0.030 
433.400,  0.747,  0.037 
433.500,  0.716,  0.036 
433.600,  0.919,  0.046 
433.700,  0.563,  0.028 
433.800,  0.514,  0.026 
433.900,  0.507,  0.025 
434.000,  0.493,  0.025 
434.100,  0.516,  0.026 
434.200,  0.722,  0.036 
434.300,  0.709,  0.035 
434.400,  0.526,  0.026 
434.500,  0.630,  0.032 
434.600,  0.725,  0.036 
434.700,  0.626,  0.031 
434.800,  0.539,  0.027 
434.900,  0.676,  0.034 
435.000,  0.644,  0.032 
435.100,  0.538,  0.027 
435.200,  0.342,  0.017 
435.300,  0.527,  0.026 
435.400,  0.678,  0.034 
435.500,  0.615,  0.031 
435.600,  0.586,  0.029 
435.700,  0.707,  0.035 
435.800,  0.757,  0.038 
435.900,  0.512,  0.026 
436.000,  0.530,  0.027 
436.100,  0.680,  0.034 
436.200,  0.756,  0.038 
436.300,  0.566,  0.028 
436.400,  0.676,  0.034 
436.500,  0.789,  0.039 
436.600,  0.732,  0.037 
436.700,  0.641,  0.032 
436.800,  0.432,  0.022 
436.900,  0.813,  0.041 
437.000,  0.609,  0.030 
437.100,  0.509,  0.025 
437.200,  0.716,  0.036 
437.300,  0.679,  0.034 
437.400,  0.523,  0.026 
437.500,  0.644,  0.032 
437.600,  0.414,  0.021 
437.700,  0.530,  0.027 
437.800,  0.659,  0.033 
437.900,  0.615,  0.031 
438.000,  0.672,  0.034 
438.100,  0.558,  0.028 
438.200,  0.619,  0.031 
438.300,  0.164,  0.008 
438.400,  0.192,  0.010 
438.500,  0.289,  0.014 
438.600,  0.655,  0.033 
438.700,  0.564,  0.028 
438.800,  0.541,  0.027 
438.900,  0.698,  0.035 
439.000,  0.476,  0.024 
439.100,  0.599,  0.030 
439.200,  0.563,  0.028 
439.300,  0.660,  0.033 
439.400,  0.571,  0.029 
439.500,  0.484,  0.024 
439.600,  0.639,  0.032 
439.700,  0.622,  0.031 
439.800,  0.659,  0.033 
439.900,  0.687,  0.034 
440.000,  0.480,  0.024 
440.100,  0.515,  0.026 
440.200,  0.736,  0.037 
440.300,  0.673,  0.034 
440.400,  0.416,  0.021 
440.500,  0.248,  0.012 
440.600,  0.620,  0.031 
440.700,  0.662,  0.033 
440.800,  0.395,  0.020 
440.900,  0.662,  0.033 
441.000,  0.691,  0.035 
441.100,  0.741,  0.037 
441.200,  0.702,  0.035 
441.300,  0.804,  0.040 
441.400,  0.571,  0.029 
441.500,  0.333,  0.017 
441.600,  0.587,  0.029 
441.700,  0.555,  0.028 
441.800,  0.701,  0.035 
441.900,  0.756,  0.038 
442.000,  0.707,  0.035 
442.100,  0.706,  0.035 
442.200,  0.545,  0.027 
442.300,  0.627,  0.031 
442.400,  0.623,  0.031 
442.500,  0.668,  0.033 
442.600,  0.547,  0.027 
442.700,  0.538,  0.027 
442.800,  0.739,  0.037 
442.900,  0.778,  0.039 
443.000,  0.533,  0.027 
443.100,  0.644,  0.032 
443.200,  0.737,  0.037 
443.300,  0.637,  0.032 
443.400,  0.682,  0.034 
443.500,  0.436,  0.022 
443.600,  0.493,  0.025 
443.700,  0.838,  0.042 
443.800,  0.644,  0.032 
443.900,  0.856,  0.043 
444.000,  0.656,  0.033 
444.100,  0.691,  0.035 
444.200,  0.501,  0.025 
444.300,  0.595,  0.030 
444.400,  0.589,  0.029 
444.500,  0.854,  0.043 
444.600,  0.831,  0.042 
444.700,  0.725,  0.036 
444.800,  0.699,  0.035 
444.900,  0.727,  0.036 
445.000,  0.632,  0.032 
445.100,  0.763,  0.038 
445.200,  0.802,  0.040 
445.300,  0.616,  0.031 
445.400,  0.633,  0.032 
445.500,  0.328,  0.016 
445.600,  0.526,  0.026 
445.700,  0.603,  0.030 
445.800,  0.587,  0.029 
445.900,  0.495,  0.025 
446.000,  0.684,  0.034 
446.100,  0.585,  0.029 
446.200,  0.312,  0.016 
446.300,  0.752,  0.038 
446.400,  0.809,  0.040 
446.500,  0.606,  0.030 
446.600,  0.702,  0.035 
446.700,  0.615,  0.031 
446.800,  0.733,  0.037 
446.900,  0.638,  0.032 
447.000,  0.575,  0.029 
447.100,  0.694,  0.035 
447.200,  0.765,  0.038 
447.300,  0.703,  0.035 
447.400,  0.706,  0.035 
447.500,  0.781,  0.039 
447.600,  0.633,  0.032 
447.700,  0.867,  0.043 
447.800,  0.865,  0.043 
447.900,  0.889,  0.044 
448.000,  0.613,  0.031 
448.100,  0.755,  0.038 
448.200,  0.571,  0.029 
448.300,  0.667,  0.033 
448.400,  0.722,  0.036 
448.500,  0.811,  0.041 
448.600,  0.789,  0.039 
448.700,  0.737,  0.037 
448.800,  0.739,  0.037 
448.900,  0.722,  0.036 
449.000,  0.620,  0.031 
449.100,  0.741,  0.037 
449.200,  0.891,  0.045 
449.300,  0.773,  0.039 
449.400,  0.714,  0.036 
449.500,  0.608,  0.030 
449.600,  0.672,  0.034 
449.700,  0.705,  0.035 
449.800,  0.816,  0.041 
449.900,  0.693,  0.035 
450.000,  0.871,  0.044 
450.100,  0.800,  0.040 
450.200,  0.735,  0.037 
450.300,  0.917,  0.046 
450.400,  0.944,  0.047 
450.500,  0.852,  0.043 
450.600,  0.877,  0.044 
450.700,  0.812,  0.041 
450.800,  0.895,  0.045 
450.900,  0.853,  0.043 
451.000,  0.946,  0.047 
451.100,  0.799,  0.040 
451.200,  0.821,  0.041 
451.300,  0.771,  0.039 
451.400,  0.838,  0.042 
451.500,  0.746,  0.037 
451.600,  0.797,  0.040 
451.700,  0.826,  0.041 
451.800,  0.533,  0.027 
451.900,  0.783,  0.039 
452.000,  0.723,  0.036 
452.100,  0.831,  0.042 
452.200,  0.877,  0.044 
452.300,  0.669,  0.033 
452.400,  0.905,  0.045 
452.500,  0.616,  0.031 
452.600,  0.674,  0.034 
452.700,  0.631,  0.032 
452.800,  0.718,  0.036 
452.900,  0.568,  0.028 
453.000,  0.812,  0.041 
453.100,  0.490,  0.024 
453.200,  0.836,  0.042 
453.300,  0.662,  0.033 
453.400,  0.723,  0.036 
453.500,  0.650,  0.033 
453.600,  0.449,  0.022 
453.700,  0.923,  0.046 
453.800,  0.802,  0.040 
453.900,  0.855,  0.043 
454.000,  0.848,  0.042 
454.100,  0.577,  0.029 
454.200,  0.760,  0.038 
454.300,  0.881,  0.044 
454.400,  0.802,  0.040 
454.500,  0.580,  0.029 
454.600,  0.695,  0.035 
454.700,  0.763,  0.038 
454.800,  0.767,  0.038 
454.900,  0.741,  0.037 
455.000,  0.685,  0.034 
455.100,  0.964,  0.048 
455.200,  0.759,  0.038 
455.300,  0.897,  0.045 
455.400,  0.706,  0.035 
455.500,  0.715,  0.036 
455.600,  0.704,  0.035 
455.700,  0.902,  0.045 
455.800,  0.876,  0.044 
455.900,  0.924,  0.046 
456.000,  0.806,  0.040 
456.100,  0.837,  0.042 
456.200,  0.952,  0.048 
456.300,  0.867,  0.043 
456.400,  0.793,  0.040 
456.500,  0.733,  0.037 
456.600,  0.768,  0.038 
456.700,  0.864,  0.043 
456.800,  0.864,  0.043 
456.900,  0.777,  0.039 
457.000,  0.790,  0.039 
457.100,  0.698,  0.035 
457.200,  0.610,  0.031 
457.300,  0.828,  0.041 
457.400,  0.940,  0.047 
457.500,  0.831,  0.042 
457.600,  0.809,  0.040 
457.700,  0.801,  0.040 
457.800,  0.785,  0.039 
457.900,  0.688,  0.034 
458.000,  0.584,  0.029 
458.100,  0.649,  0.032 
458.200,  0.837,  0.042 
458.300,  0.850,  0.042 
458.400,  0.797,  0.040 
458.500,  0.783,  0.039 
458.600,  0.513,  0.026 
458.700,  0.842,  0.042 
458.800,  0.801,  0.040 
458.900,  0.809,  0.040 
459.000,  0.795,  0.040 
459.100,  0.781,  0.039 
459.200,  0.754,  0.038 
459.300,  0.769,  0.038 
459.400,  0.762,  0.038 
459.500,  0.713,  0.036 
459.600,  0.731,  0.037 
459.700,  0.788,  0.039 
459.800,  0.706,  0.035 
459.900,  0.873,  0.044 
460.000,  0.849,  0.042 
460.100,  0.598,  0.030 
460.200,  0.684,  0.034 
460.300,  0.661,  0.033 
460.400,  0.837,  0.042 
460.500,  0.700,  0.035 
460.600,  0.818,  0.041 
460.700,  0.837,  0.042 
460.800,  0.828,  0.041 
460.900,  0.867,  0.043 
461.000,  0.914,  0.046 
461.100,  0.627,  0.031 
461.200,  0.899,  0.045 
461.300,  0.702,  0.035 
461.400,  0.716,  0.036 
461.500,  0.926,  0.046 
461.600,  0.695,  0.035 
461.700,  0.787,  0.039 
461.800,  0.820,  0.041 
461.900,  0.724,  0.036 
462.000,  0.779,  0.039 
462.100,  0.908,  0.045 
462.200,  0.719,  0.036 
462.300,  0.796,  0.040 
462.400,  0.913,  0.046 
462.500,  0.820,  0.041 
462.600,  0.704,  0.035 
462.700,  0.777,  0.039 
462.800,  0.917,  0.046 
462.900,  0.778,  0.039 
463.000,  0.880,  0.044 
463.100,  0.918,  0.046 
463.200,  0.905,  0.045 
463.300,  0.766,  0.038 
463.400,  0.790,  0.039 
463.500,  0.893,  0.045 
463.600,  0.833,  0.042 
463.700,  0.808,  0.040 
463.800,  0.712,  0.036 
463.900,  0.827,  0.041 
464.000,  0.690,  0.034 
464.100,  0.863,  0.043 
464.200,  0.971,  0.049 
464.300,  0.817,  0.041 
464.400,  0.889,  0.044 
464.500,  0.842,  0.042 
464.600,  0.691,  0.035 
464.700,  0.766,  0.038 
464.800,  0.884,  0.044 
464.900,  0.679,  0.034 
465.000,  0.800,  0.040 
465.100,  0.830,  0.042 
465.200,  0.717,  0.036 
465.300,  0.862,  0.043 
465.400,  0.848,  0.042 
465.500,  0.786,  0.039 
465.600,  0.749,  0.037 
465.700,  0.783,  0.039 
465.800,  0.933,  0.047 
465.900,  0.878,  0.044 
466.000,  0.931,  0.047 
466.100,  0.855,  0.043 
466.200,  0.873,  0.044 
466.300,  0.782,  0.039 
466.400,  0.900,  0.045 
466.500,  0.786,  0.039 
466.600,  0.807,  0.040 
466.700,  0.681,  0.034 
466.800,  0.532,  0.027 
466.900,  0.715,  0.036 
467.000,  0.819,  0.041 
467.100,  0.926,  0.046 
467.200,  0.872,  0.044 
467.300,  0.647,  0.032 
467.400,  0.989,  0.049 
467.500,  0.626,  0.031 
467.600,  0.835,  0.042 
467.700,  0.866,  0.043 
467.800,  0.819,  0.041 
467.900,  0.728,  0.036 
468.000,  0.764,  0.038 
468.100,  0.852,  0.043 
468.200,  0.714,  0.036 
468.300,  0.944,  0.047 
468.400,  0.925,  0.046 
468.500,  0.699,  0.035 
468.600,  0.812,  0.041 
468.700,  0.800,  0.040 
468.800,  0.831,  0.042 
468.900,  0.850,  0.043 
469.000,  0.819,  0.041 
469.100,  0.662,  0.033 
469.200,  0.901,  0.045 
469.300,  0.896,  0.045 
469.400,  0.838,  0.042 
469.500,  0.834,  0.042 
469.600,  0.908,  0.045 
469.700,  0.805,  0.040 
469.800,  0.843,  0.042 
469.900,  0.715,  0.036 
470.000,  0.863,  0.043 
470.100,  0.720,  0.036 
470.200,  0.786,  0.039 
470.300,  0.610,  0.031 
470.400,  0.840,  0.042 
470.500,  0.839,  0.042 
470.600,  0.799,  0.040 
470.700,  0.685,  0.034 
470.800,  0.821,  0.041 
470.900,  0.793,  0.040 
471.000,  0.668,  0.033 
471.100,  0.852,  0.043 
471.200,  0.835,  0.042 
471.300,  0.820,  0.041 
471.400,  0.716,  0.036 
471.500,  0.865,  0.043 
471.600,  0.797,  0.040 
