Source_ID,RA,Dec,G,BpRp
5.3335E+16,59.8455,22.5712,13.7555,1.9051
6.98988E+16,55.6786,25.2809,13.7567,1.8043
6.82955E+16,55.9821,24.4262,13.7673,1.909
6.98734E+16,56.516,25.4528,13.8111,1.872
6.67272E+16,56.765,24.1595,13.8264,1.8953
6.83634E+16,55.5899,24.6645,13.8305,1.9059
6.50844E+16,55.9026,23.4538,13.8314,1.889
6.67985E+16,56.4798,24.5546,13.8328,1.7651
6.41312E+16,57.1569,22.7691,13.8464,1.9364
6.40506E+16,57.7664,22.4045,13.8596,1.9323
6.3431E+16,55.305,20.8544,13.8617,1.9597
6.51515E+16,55.415,23.7629,13.8675,1.886
6.50268E+16,55.4463,22.8568,13.8835,1.8963
6.40069E+16,56.8469,22.2444,13.8961,1.8875
6.98772E+16,55.9499,25.053,13.9155,1.9273
6.51538E+16,55.4946,23.7071,13.9355,1.9495
5.16163E+16,58.4293,20.8333,13.9738,1.9915
6.65175E+16,57.0751,23.8913,13.9759,1.9212
6.57682E+16,59.4004,23.931,14.0062,1.9805
6.48085E+16,56.6451,22.9353,14.0118,1.9754
6.67813E+16,56.5314,24.3742,14.0124,1.9703
6.49647E+16,56.6371,23.3051,14.0187,2.0111
6.56905E+16,58.3535,23.404,14.0732,2.3251
6.49777E+16,56.6473,23.4115,14.0812,2.0335
6.64829E+16,57.8004,23.9324,14.0814,2.033
7.00446E+16,56.581,26.0431,14.089,1.992
6.56736E+16,57.816,23.2821,14.1107,2.0543
6.42505E+16,54.5368,21.2468,14.1586,2.0705
6.50114E+16,56.7894,23.742,14.1701,2.3951
6.52665E+16,55.903,24.2321,14.1789,2.0962
6.58444E+16,59.1081,24.2808,14.184,2.0518
7.10219E+16,54.4001,26.5467,14.1866,2.1378
6.52728E+16,56.0971,24.1324,14.2056,1.3938
6.50232E+16,55.6227,22.7904,14.2203,2.1069
6.98603E+16,56.4128,25.2242,14.2562,2.1212
6.50053E+16,56.7658,23.6161,14.2646,2.4753
6.68016E+16,56.5413,24.6734,14.265,2.3838
6.48415E+16,55.7676,22.8008,14.2971,2.2963
6.67936E+16,56.7051,24.5998,14.3105,2.148
6.77323E+16,54.5976,23.1078,14.3113,2.1313
6.52413E+16,56.1334,23.8748,14.3292,2.189
6.99323E+16,56.1254,25.5962,14.3405,2.1378
6.80461E+16,53.7893,24.2387,14.3571,2.1545
6.54351E+16,59.1042,23.0906,14.358,2.1179
6.52012E+16,56.5233,23.7571,14.3751,2.4469
7.00282E+16,56.8411,25.8977,14.3856,2.1703
6.51255E+16,55.1313,23.5504,14.4102,2.1775
6.52413E+16,56.1332,23.8752,14.4165,2.4777
6.83256E+16,55.7732,24.8244,14.4184,2.5224
6.95835E+16,52.8111,25.9809,14.4527,2.1985
6.65556E+16,57.5537,24.3516,14.4625,2.2068
6.98114E+16,56.1035,24.7682,14.4636,2.2354
6.98101E+16,56.348,24.8506,14.4673,2.2318
6.69403E+16,57.1086,25.2445,14.4859,2.2242
6.49607E+16,56.738,23.2505,14.4864,2.212
6.48703E+16,56.0368,23.0797,14.498,2.2233
6.48916E+16,57.2543,22.9802,14.5059,2.2169
6.36938E+16,57.4659,21.3071,14.509,2.499
6.66525E+16,58.0861,24.5653,14.5097,2.2129
7.00354E+16,56.4696,25.8615,14.5205,2.3064
6.94E+16,54.3507,25.7221,14.5381,2.2601
6.80456E+16,53.7472,24.2045,14.5446,2.2772
7.0114E+16,55.5203,25.6631,14.5597,2.5621
6.5576E+16,59.7377,23.7085,14.5667,2.3082
6.48646E+16,56.1575,22.9208,14.6024,2.3684
6.52028E+16,56.5272,23.8388,14.6069,2.2873
6.52812E+16,56.376,24.3124,14.6073,2.288
7.04598E+16,57.2378,26.6149,14.616,2.4232
6.37955E+16,58.6451,21.8837,14.6224,2.2965
6.68463E+16,56.8369,25.0866,14.6734,2.3139
6.82258E+16,54.8979,24.1182,14.686,2.3128
6.67224E+16,57.2391,24.3286,14.6992,2.5805
6.98785E+16,56.0096,25.0648,14.7058,2.3262
6.5783E+16,59.0775,23.9642,14.732,2.3377
6.51172E+16,55.0009,23.4348,14.7434,2.5746
6.50179E+16,56.807,23.8313,14.7482,2.6376
6.67108E+16,56.9434,24.0505,14.753,2.3097
6.82594E+16,55.5456,24.0855,14.7688,2.5071
6.52297E+16,56.6059,24.1599,14.7815,2.5504
6.65E+16,57.2745,23.7396,14.7874,2.4433
6.67374E+16,56.8776,24.3703,14.7985,2.3478
6.51346E+16,55.5369,23.5879,14.8034,2.3496
6.52024E+16,56.4437,23.7952,14.8054,2.5992
6.52549E+16,55.6677,23.9892,14.8153,2.4971
7.12028E+16,55.4117,27.6852,14.8195,2.5328
6.98899E+16,55.9863,25.2621,14.8273,2.3524
6.34364E+16,55.1473,20.9656,14.8415,2.4416
6.83144E+16,55.8045,24.6552,14.8898,2.4324
7.01389E+16,56.1102,26.0415,14.9187,2.541
6.98635E+16,56.3209,25.2631,14.9204,2.6992
6.67205E+16,57.1295,24.2813,14.9441,2.4509
6.40736E+16,58.1437,22.502,14.9582,2.3958
6.67324E+16,56.7234,24.2873,14.973,2.7212
6.4094E+16,57.7041,22.6698,14.9738,2.4699
6.66715E+16,57.8579,24.794,14.9762,2.7175
6.65504E+16,57.7981,24.3868,14.9802,2.5868
6.55535E+16,59.734,23.4648,14.9858,2.7053
6.65426E+16,57.8295,24.1701,14.9949,2.4956
6.99902E+16,57.2869,25.8967,15.0079,2.4944
6.52923E+16,56.1121,24.4086,15.0118,2.3948
6.67428E+16,56.9624,24.505,15.0158,2.4399
6.99065E+16,55.9746,25.4749,15.0196,2.4573
6.85063E+16,54.2646,24.743,15.0238,2.499
6.85958E+16,55.0622,25.3217,15.0245,2.4482
6.98543E+16,56.7252,25.2456,15.0387,2.4484
6.49056E+16,56.7034,23.0686,15.0403,2.4779
6.49989E+16,57.0827,23.6031,15.0425,2.4324
6.98295E+16,55.9864,24.9933,15.0509,2.4658
6.48891E+16,57.0945,22.8725,15.0625,2.4895
6.45557E+16,53.729,22.0794,15.0643,2.4449
